Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
"Jaskolski, Rippin and Pfannerstill",Switzerland,Manufacturing & Production,Small,David Wilson,4/27/2024,SAAS,Sales Accepted,4,,,1544,20,7/18/2024,
Mertz-Grimes,France,IT & IT Services,Small,Kevin Anderson,1/17/2024,Services,Sales Accepted,4,,,828,50,3/11/2024,
Heller and Sons,Belgium,Recreation & Sports,Small,Laura Thompson,3/5/2024,Services,Sales Accepted,4,,,1570,40,12/25/2024,
Rau and Sons,France,Transportation & Logistics,Small,Jessica Martinez,4/30/2024,SAAS,Sales Accepted,4,,,1831,20,9/21/2024,
Koepp-Abbott,Netherlands,Transportation & Logistics,Small,Michael Brown,3/25/2024,SAAS,Sales Accepted,4,,,1616,20,12/7/2024,
"Ward, Koepp and Thiel",France,Banking and Finance,Small,Jessica Martinez,3/30/2024,Services,Sales Accepted,4,,,1210,40,7/11/2024,
Conroy Group,Italy,Retail & Distribution,Small,Emily Johnson,3/9/2024,SAAS,Sales Accepted,4,,,1493,50,1/31/2025,
Baumbach Inc,Germany,Transportation & Logistics,Small,Michael Brown,2/2/2024,Services,Sales Accepted,4,,,365,30,8/25/2024,
Kirlin Group,Switzerland,Professional Services  & Consulting,Small,Laura Thompson,5/20/2024,SAAS,Sales Accepted,4,,,550,60,1/1/2025,
"Grant, Kihn and Volkman",Netherlands,Professional Services  & Consulting,Small,David Wilson,4/25/2024,Custom solution,Sales Accepted,4,,,931,20,4/13/2025,
Rodriguez-Leannon,Belgium,Government Administration Healthcare,Small,Sarah Davis,2/7/2024,Custom solution,Sales Accepted,4,,,1626,30,8/14/2024,
Jacobs-Dickinson,Germany,Transportation & Logistics,Small,Kevin Anderson,2/16/2024,Services,Sales Accepted,4,,,1206,30,11/21/2024,
Durgan and Sons,Portugal,Transportation & Logistics,Small,Laura Thompson,3/10/2024,Services,Sales Accepted,4,,,885,20,11/2/2024,
Bechtelar-Price,Spain,Government Administration Healthcare,Small,Jessica Martinez,2/3/2024,SAAS,Sales Accepted,4,,,1709,20,5/16/2024,
"Spencer, Walter and Wolf",Italy,Government Administration Healthcare,Small,Michael Brown,3/22/2024,SAAS,Sales Accepted,4,,,642,30,9/13/2024,
Herman-Graham,Spain,Manufacturing & Production,Small,Emily Johnson,5/6/2024,Services,Sales Accepted,4,,,1124,40,11/16/2024,
Kulas-Cummings,Italy,Government Administration Healthcare,Small,Michael Brown,5/29/2024,SAAS,Sales Accepted,4,,,1397,80,8/5/2024,
Towne LLC,Portugal,Energy & Utilities,Small,Laura Thompson,1/9/2024,SAAS,Sales Accepted,4,,,1935,30,4/14/2024,
"Stark, Beahan and Frami",Italy,Banking and Finance,Small,Kevin Anderson,4/20/2024,Services,Sales Accepted,4,,,1661,20,3/21/2025,
"Hackett, Breitenberg and Feil",France,Professional Services  & Consulting,Small,David Wilson,4/30/2024,SAAS,Sales Accepted,4,,,1163,90,3/27/2025,
"Moore, Bergstrom and Greenholt",Italy,Telecommunications,Small,Jessica Martinez,2/22/2024,SAAS,Sales Accepted,4,,,373,50,5/5/2024,
Bartoletti-Sawayn,France,Recreation & Sports,Small,Michael Brown,1/9/2024,SAAS,Sales Accepted,4,,,388,40,3/12/2024,
"Shields, Veum and Legros",Switzerland,IT & IT Services,Small,Laura Thompson,3/23/2024,SAAS,Sales Accepted,4,,,871,50,11/28/2024,
Kautzer-Shanahan,Switzerland,Transportation & Logistics,Small,John Smith,2/15/2024,SAAS,Sales Accepted,4,,,1917,30,9/6/2024,
"Walter, Roberts and Grant",Germany,Transportation & Logistics,Small,Laura Thompson,2/5/2024,Services,Sales Accepted,4,,,1362,40,3/1/2024,
"Ferry, Kassulke and Abshire",Italy,Energy & Utilities,Small,John Smith,2/5/2024,Services,Sales Accepted,4,,,834,20,1/14/2025,
Douglas Inc,Italy,Government Administration Healthcare,Small,John Smith,4/23/2024,SAAS,Sales Accepted,4,,,1846,80,8/4/2024,
Nitzsche Inc,Portugal,Agriculture & Mining,Small,Laura Thompson,4/19/2024,SAAS,Sales Accepted,4,,,1583,40,6/7/2024,
Schroeder-Boyle,Switzerland,Transportation & Logistics,Small,David Wilson,4/30/2024,SAAS,Sales Accepted,4,,,799,20,7/18/2024,
Torp-Bernhard,France,Banking and Finance,Small,Emily Johnson,3/18/2024,SAAS,Sales Accepted,4,,,1320,90,1/19/2025,
Medhurst-Marvin,Italy,Energy & Utilities,Small,Jessica Martinez,1/10/2024,SAAS,Sales Accepted,4,,,1730,90,6/4/2024,
Barrows-Abbott,France,Transportation & Logistics,Small,Sarah Davis,2/20/2024,Services,Sales Accepted,4,,,1805,60,10/13/2024,
Hermann LLC,Italy,Retail & Distribution,Small,Michael Brown,5/11/2024,Custom solution,Sales Accepted,4,,,1564,50,11/11/2024,
"Kautzer, Bahringer and Littel",Portugal,IT & IT Services,Small,Laura Thompson,2/12/2024,Custom solution,Sales Accepted,4,,,1373,20,6/25/2024,
Weber and Sons,Spain,Recreation & Sports,Small,David Wilson,3/31/2024,SAAS,Sales Accepted,4,,,1364,40,1/7/2025,
"Pfannerstill, Denesik and Rodriguez",Germany,Agriculture & Mining,Small,Kevin Anderson,2/25/2024,Services,Sales Accepted,4,,,1430,60,11/13/2024,
Kirlin-Rodriguez,Austria,Education & Science,Small,Kevin Anderson,2/22/2024,Services,Sales Accepted,4,,,704,60,10/22/2024,
Mante-Towne,Portugal,Transportation & Logistics,Small,John Smith,3/8/2024,Services,Sales Accepted,4,,,1907,40,7/15/2024,
"Rau, Veum and Purdy",Austria,Banking and Finance,Small,David Wilson,4/28/2024,Services,Sales Accepted,4,,,1580,40,12/7/2024,
Hyatt-Dare,France,Telecommunications,Small,John Smith,3/18/2024,SAAS,Sales Accepted,4,,,733,60,5/27/2024,
"Leuschke, Wuckert and Yundt",Italy,Agriculture & Mining,Small,Jessica Martinez,2/28/2024,SAAS,Sales Accepted,4,,,1890,40,11/13/2024,
"Mayer, Ryan and Satterfield",Portugal,Construction & Engineering,Small,Laura Thompson,1/25/2024,SAAS,Sales Accepted,4,,,684,40,7/8/2024,
Mann-Moore,Italy,Telecommunications,Small,Emily Johnson,3/10/2024,SAAS,Sales Accepted,4,,,842,70,8/3/2024,
"Ebert, Schinner and Haag",France,Government Administration Healthcare,Small,Emily Johnson,5/9/2024,SAAS,Sales Accepted,4,,,596,40,4/18/2025,
Hegmann-Kris,Netherlands,Agriculture & Mining,Small,Laura Thompson,3/26/2024,Services,Sales Accepted,4,,,1579,50,10/18/2024,
"Williamson, Williamson and Walker",Germany,Retail & Distribution,Small,Jessica Martinez,3/27/2024,Services,Sales Accepted,4,,,566,30,4/25/2024,
"Runolfsson, Schinner and Beier",Spain,Transportation & Logistics,Small,Michael Brown,3/10/2024,Custom solution,Sales Accepted,4,,,1973,40,2/13/2025,
"Schamberger, Hartmann and Jones",Belgium,Transportation & Logistics,Small,Laura Thompson,2/25/2024,SAAS,Sales Accepted,4,,,599,80,6/9/2024,
"Marvin, Gutkowski and Anderson",Italy,Transportation & Logistics,Small,Laura Thompson,3/27/2024,Custom solution,Sales Accepted,4,,,769,50,5/31/2024,
"Kutch, Dickinson and Ullrich",Netherlands,IT & IT Services,Small,Michael Brown,5/31/2024,SAAS,Sales Accepted,4,,,1456,50,11/17/2024,
Wolf LLC,Belgium,Transportation & Logistics,Small,John Smith,4/26/2024,Custom solution,Sales Accepted,4,,,830,80,4/3/2025,
"Quitzon, O'Conner and Erdman",Italy,IT & IT Services,Small,Kevin Anderson,5/29/2024,SAAS,Sales Accepted,4,,,298,50,4/14/2025,
"Tremblay, Jacobson and Hackett",Portugal,Banking and Finance,Small,Michael Brown,3/28/2024,Services,Sales Accepted,4,,,943,60,1/31/2025,
Bauch-Kovacek,France,IT & IT Services,Small,Michael Brown,4/17/2024,SAAS,Sales Accepted,4,,,909,30,2/22/2025,
"Marvin, Hills and Hirthe",Switzerland,Construction & Engineering,Small,Emily Johnson,1/30/2024,SAAS,Sales Accepted,4,,,227,30,3/2/2024,
"Leannon, Schowalter and Waters",Portugal,Professional Services  & Consulting,Small,Laura Thompson,4/30/2024,Services,Sales Accepted,4,,,924,70,4/24/2025,
Kemmer and Sons,Germany,Government Administration Healthcare,Small,Emily Johnson,3/21/2024,SAAS,Sales Accepted,4,,,1403,30,12/18/2024,
"Dickens, Lubowitz and Emard",Germany,Agriculture & Mining,Small,Laura Thompson,5/22/2024,SAAS,Sales Accepted,4,,,1398,50,10/10/2024,
Emard and Sons,Switzerland,Banking and Finance,Small,Laura Thompson,5/15/2024,Custom solution,Sales Accepted,4,,,1190,20,5/1/2025,
Lind Group,France,Banking and Finance,Small,Michael Brown,4/14/2024,SAAS,Sales Accepted,4,,,654,50,7/29/2024,
Wolff Group,Germany,Recreation & Sports,Small,Laura Thompson,2/13/2024,SAAS,Sales Accepted,4,,,517,30,1/30/2025,
Rogahn-Rodriguez,Germany,Construction & Engineering,Small,John Smith,4/24/2024,SAAS,Sales Accepted,4,,,388,80,10/5/2024,
"Ratke, Bogan and Kautzer",France,Entertainment & Media & Hospitality,Small,Kevin Anderson,5/7/2024,SAAS,Sales Accepted,4,,,1147,80,3/3/2025,
Greenholt-Kiehn,Switzerland,Banking and Finance,Small,Emily Johnson,3/19/2024,SAAS,Sales Accepted,4,,,1776,20,12/7/2024,
Hayes and Sons,Portugal,Banking and Finance,Small,Michael Brown,5/26/2024,SAAS,Sales Accepted,4,,,1127,30,2/15/2025,
"Bernhard, Auer and Pollich",Switzerland,Entertainment & Media & Hospitality,Small,David Wilson,4/5/2024,Services,Sales Accepted,4,,,258,40,5/13/2024,
Champlin-Christiansen,Germany,Government Administration Healthcare,Small,Emily Johnson,3/1/2024,Services,Sales Accepted,4,,,263,100,10/6/2024,
Tillman Group,Spain,Banking and Finance,Small,Jessica Martinez,3/2/2024,SAAS,Sales Accepted,4,,,320,50,10/10/2024,
Rutherford-Botsford,Switzerland,Retail & Distribution,Small,Jessica Martinez,5/8/2024,Services,Sales Accepted,4,,,758,40,8/28/2024,
"Monahan, Witting and Schaden",Spain,IT & IT Services,Small,Michael Brown,1/24/2024,Services,Sales Accepted,4,,,952,30,4/8/2024,
Feedfish,Spain,Government Administration Healthcare,Micro,Jessica Martinez,4/13/2024,SAAS,Sales Accepted,4,,,1082,50,9/27/2024,
Oodoo,France,Transportation & Logistics,Micro,John Smith,3/5/2024,SAAS,Sales Accepted,4,,,593,20,1/16/2025,
Realblab,Belgium,Entertainment & Media & Hospitality,Micro,John Smith,3/31/2024,Services,Sales Accepted,4,,,1032,50,4/24/2024,
Babblestorm,Switzerland,Banking and Finance,Micro,Michael Brown,5/29/2024,Services,Sales Accepted,4,,,928,20,11/7/2024,
Nlounge,Spain,IT & IT Services,Micro,Emily Johnson,3/18/2024,Services,Sales Accepted,4,,,730,100,8/17/2024,
Fatz,Spain,Government Administration Healthcare,Micro,Emily Johnson,4/4/2024,SAAS,Sales Accepted,4,,,926,20,11/2/2024,
Pixonyx,Italy,IT & IT Services,Micro,Michael Brown,4/30/2024,SAAS,Sales Accepted,4,,,826,20,3/18/2025,
Avaveo,Austria,Banking and Finance,Micro,Sarah Davis,5/3/2024,Custom solution,Sales Accepted,4,,,1094,100,3/25/2025,
Skilith,France,Manufacturing & Production,Micro,David Wilson,1/6/2024,Services,Sales Accepted,4,,,256,30,6/3/2024,
Brainlounge,Switzerland,Construction & Engineering,Micro,Jessica Martinez,4/28/2024,Services,Sales Accepted,4,,,656,40,12/7/2024,
Wikido,Italy,Banking and Finance,Micro,Michael Brown,4/26/2024,SAAS,Sales Accepted,4,,,1048,60,10/21/2024,
Brainverse,Italy,Entertainment & Media & Hospitality,Micro,Laura Thompson,2/22/2024,SAAS,Sales Accepted,4,,,556,50,10/20/2024,
O'Conner-Zboncak,Spain,Banking and Finance,Micro,Laura Thompson,2/6/2024,SAAS,Sales Accepted,4,,,850,50,5/7/2024,
Goldner Group,Italy,Transportation & Logistics,Micro,John Smith,4/23/2024,Services,Sales Accepted,4,,,1093,20,8/11/2024,
"Pfannerstill, VonRueden and Greenfelder",Italy,Education & Science,Micro,Emily Johnson,3/11/2024,Custom solution,Sales Accepted,4,,,314,60,3/11/2025,
"Padberg, Ferry and Abshire",Germany,Transportation & Logistics,Micro,Laura Thompson,1/22/2024,Services,Sales Accepted,4,,,642,50,3/19/2024,
Effertz-Wehner,Switzerland,Transportation & Logistics,Micro,Sarah Davis,1/25/2024,Services,Sales Accepted,4,,,858,40,10/6/2024,
Ebert-Cummerata,France,Transportation & Logistics,Micro,Laura Thompson,4/23/2024,Services,Sales Accepted,4,,,828,40,4/16/2025,
Nolan-DuBuque,France,Banking and Finance,Micro,John Smith,1/21/2024,Services,Sales Accepted,4,,,482,100,5/3/2024,
Franecki-Baumbach,Austria,Professional Services  & Consulting,Micro,Laura Thompson,2/7/2024,SAAS,Sales Accepted,4,,,367,50,3/1/2024,
Cremin Group,France,Entertainment & Media & Hospitality,Micro,Emily Johnson,4/25/2024,Services,Sales Accepted,4,,,471,20,3/16/2025,
"Friesen, Jacobson and Lockman",Austria,IT & IT Services,Micro,Laura Thompson,3/16/2024,SAAS,Sales Accepted,4,,,1169,20,7/19/2024,
"West, Rodriguez and Larson",Belgium,Agriculture & Mining,Micro,David Wilson,5/6/2024,Custom solution,Sales Accepted,4,,,1140,40,6/26/2024,
Douglas-Purdy,Germany,Banking and Finance,Micro,Jessica Martinez,5/16/2024,Custom solution,Sales Accepted,4,,,437,20,6/5/2024,
Wilkinson Group,Italy,Transportation & Logistics,Micro,Kevin Anderson,3/27/2024,SAAS,Sales Accepted,4,,,1027,50,1/8/2025,
Greenholt LLC,France,Retail & Distribution,Micro,Michael Brown,1/13/2024,Services,Sales Accepted,4,,,601,40,12/14/2024,
"Torp, Nitzsche and Nicolas",Spain,Education & Science,Micro,Michael Brown,4/19/2024,Services,Sales Accepted,4,,,336,40,3/22/2025,
Lindgren-Kuphal,Switzerland,Banking and Finance,Micro,Laura Thompson,4/29/2024,Services,Sales Accepted,4,,,822,40,3/10/2025,
Becker-Legros,Portugal,Transportation & Logistics,Micro,Michael Brown,2/3/2024,SAAS,Sales Accepted,4,,,465,30,2/28/2024,
Auer-Kub,Germany,Government Administration Healthcare,Micro,Laura Thompson,5/12/2024,Services,Sales Accepted,4,,,1146,20,3/7/2025,
Abshire-Turcotte,Italy,Banking and Finance,Micro,Jessica Martinez,3/6/2024,Services,Sales Accepted,4,,,794,70,2/21/2025,
Haag LLC,Portugal,Transportation & Logistics,Micro,Laura Thompson,4/13/2024,Custom solution,Sales Accepted,4,,,1164,10,2/9/2025,
"Kunde, Jast and Medhurst",Italy,Recreation & Sports,Micro,Kevin Anderson,2/4/2024,Custom solution,Sales Accepted,4,,,424,30,3/13/2024,
Wiegand-Shanahan,France,Transportation & Logistics,Micro,David Wilson,1/8/2024,SAAS,Sales Accepted,4,,,311,40,4/13/2024,
Kris-Haley,Switzerland,Manufacturing & Production,Micro,Laura Thompson,1/2/2024,Custom solution,Sales Accepted,4,,,899,40,12/1/2024,
"McCullough, Wehner and Mitchell",Portugal,Transportation & Logistics,Micro,Emily Johnson,3/17/2024,SAAS,Sales Accepted,4,,,405,20,7/4/2024,
Bernier Group,Italy,Recreation & Sports,Micro,Sarah Davis,5/26/2024,SAAS,Sales Accepted,4,,,281,40,11/11/2024,
Schroeder-Cartwright,Italy,IT & IT Services,Micro,Emily Johnson,5/28/2024,Services,Sales Accepted,4,,,1144,20,9/2/2024,
Deckow Inc,Belgium,Government Administration Healthcare,Micro,Sarah Davis,2/27/2024,SAAS,Sales Accepted,4,,,825,10,5/31/2024,
Hintz and Sons,Portugal,IT & IT Services,Micro,Laura Thompson,2/14/2024,Services,Sales Accepted,4,,,750,70,12/27/2024,
Rolfson-Nicolas,Spain,Professional Services  & Consulting,Micro,Sarah Davis,1/22/2024,SAAS,Sales Accepted,4,,,1158,30,8/30/2024,
Hahn-Mraz,Germany,Telecommunications,Micro,Michael Brown,1/24/2024,SAAS,Sales Accepted,4,,,918,30,8/4/2024,
Parisian Group,Portugal,Retail & Distribution,Micro,Emily Johnson,3/9/2024,Custom solution,Sales Accepted,4,,,215,40,1/4/2025,
Mann-Balistreri,Austria,Entertainment & Media & Hospitality,Micro,Kevin Anderson,2/15/2024,Services,Sales Accepted,4,,,1060,30,1/30/2025,
"Becker, Wolff and Legros",Germany,Agriculture & Mining,Micro,Laura Thompson,4/18/2024,Services,Sales Accepted,4,,,493,30,2/10/2025,
Sporer-Harber,Switzerland,Government Administration Healthcare,Micro,David Wilson,3/27/2024,SAAS,Sales Accepted,4,,,815,20,6/20/2024,
"Hickle, Witting and Langworth",Netherlands,Construction & Engineering,Micro,Jessica Martinez,2/26/2024,SAAS,Sales Accepted,4,,,595,70,1/29/2025,
"Wilkinson, Ebert and Toy",Switzerland,Professional Services  & Consulting,Micro,Kevin Anderson,1/20/2024,SAAS,Sales Accepted,4,,,739,30,3/2/2024,
Marquardt-Steuber,Netherlands,Banking and Finance,Micro,Michael Brown,1/29/2024,Custom solution,Sales Accepted,4,,,571,40,9/21/2024,
Deckow-Beatty,Portugal,IT & IT Services,Micro,Sarah Davis,1/29/2024,SAAS,Sales Accepted,4,,,313,100,11/8/2024,
"Dicki, Ferry and Dare",Germany,Construction & Engineering,Micro,Michael Brown,3/13/2024,Services,Sales Accepted,4,,,924,30,8/26/2024,
Schmidt and Sons,Germany,Telecommunications,Micro,Emily Johnson,4/5/2024,Custom solution,Sales Accepted,4,,,952,60,10/13/2024,
Greenfelder and Sons,Portugal,Professional Services  & Consulting,Micro,Jessica Martinez,3/5/2024,SAAS,Sales Accepted,4,,,202,20,9/20/2024,
"McKenzie, Kovacek and Reichel",Portugal,Banking and Finance,Micro,Emily Johnson,4/20/2024,Custom solution,Sales Accepted,4,,,660,50,2/17/2025,
Greenfelder Inc,Austria,Agriculture & Mining,Micro,Michael Brown,5/8/2024,SAAS,Sales Accepted,4,,,219,100,7/3/2024,
Goyette and Sons,Italy,Professional Services  & Consulting,Micro,Laura Thompson,2/5/2024,SAAS,Sales Accepted,4,,,653,40,6/7/2024,
Pacocha and Sons,France,Transportation & Logistics,Micro,Michael Brown,3/31/2024,Services,Sales Accepted,4,,,816,90,5/7/2024,
Wiza Group,France,Transportation & Logistics,Micro,Laura Thompson,3/1/2024,SAAS,Sales Accepted,4,,,344,30,9/2/2024,
Murray-Ullrich,Spain,Transportation & Logistics,Micro,Laura Thompson,3/18/2024,Services,Sales Accepted,4,,,557,20,3/14/2025,
Ward LLC,Netherlands,Banking and Finance,Micro,Michael Brown,5/31/2024,Services,Sales Accepted,4,,,721,40,8/21/2024,
Ferry-Bernier,Italy,Professional Services  & Consulting,Micro,Jessica Martinez,4/16/2024,SAAS,Sales Accepted,4,,,964,40,2/7/2025,
Glover and Sons,Belgium,Agriculture & Mining,Micro,Laura Thompson,4/8/2024,SAAS,Sales Accepted,4,,,438,40,8/22/2024,
"Brakus, Reichel and Funk",Germany,Agriculture & Mining,Micro,John Smith,5/2/2024,Custom solution,Sales Accepted,4,,,238,20,9/17/2024,
Huels and Sons,Germany,Transportation & Logistics,Micro,John Smith,2/16/2024,Services,Sales Accepted,4,,,381,30,7/14/2024,
Schuppe-Funk,Italy,Transportation & Logistics,Micro,David Wilson,4/14/2024,Custom solution,Sales Accepted,4,,,943,30,8/16/2024,
"Buckridge, Lakin and Nader",Switzerland,Banking and Finance,Micro,Kevin Anderson,5/8/2024,SAAS,Sales Accepted,4,,,413,50,6/4/2024,
"Ryan, Schneider and Medhurst",Netherlands,Construction & Engineering,Micro,Sarah Davis,2/5/2024,SAAS,Sales Accepted,4,,,1092,20,8/6/2024,
Braun-Zieme,France,Telecommunications,Micro,Jessica Martinez,5/30/2024,Services,Sales Accepted,4,,,429,40,5/19/2025,
Legros-Pacocha,Italy,Banking and Finance,Micro,Jessica Martinez,2/29/2024,SAAS,Sales Accepted,4,,,952,30,8/8/2024,
"Block, Tromp and Johnston",Netherlands,Agriculture & Mining,Micro,Kevin Anderson,3/22/2024,SAAS,Sales Accepted,4,,,244,50,1/3/2025,
"Johnson, Kiehn and Walsh",Portugal,Retail & Distribution,Micro,David Wilson,1/13/2024,Custom solution,Sales Accepted,4,,,223,90,9/13/2024,
Smith and Sons,Austria,Transportation & Logistics,Micro,Michael Brown,4/20/2024,Services,Sales Accepted,4,,,370,40,2/7/2025,
Spencer-Jacobs,Italy,IT & IT Services,Micro,John Smith,4/24/2024,Custom solution,Sales Accepted,4,,,1049,30,10/7/2024,
"Wolf, Kozey and Olson",Portugal,Manufacturing & Production,Micro,David Wilson,5/2/2024,Services,Sales Accepted,4,,,380,20,9/19/2024,
Runolfsdottir and Sons,Germany,Professional Services  & Consulting,Micro,Laura Thompson,2/25/2024,Custom solution,Sales Accepted,4,,,1199,20,8/6/2024,
Orn-Green,Netherlands,Telecommunications,Micro,Laura Thompson,2/25/2024,SAAS,Sales Accepted,4,,,510,50,8/22/2024,
Braun-Denesik,Switzerland,Government Administration Healthcare,Micro,Emily Johnson,1/29/2024,SAAS,Sales Accepted,4,,,407,50,2/19/2024,
Tromp-Jacobs,Italy,Energy & Utilities,Micro,Emily Johnson,4/12/2024,SAAS,Sales Accepted,4,,,299,30,3/13/2025,
Morar-Lebsack,Portugal,Transportation & Logistics,Micro,Jessica Martinez,1/17/2024,SAAS,Sales Accepted,4,,,706,20,5/11/2024,
"Gislason, Dare and Yundt",France,Transportation & Logistics,Micro,Laura Thompson,5/2/2024,SAAS,Sales Accepted,4,,,766,40,6/18/2024,
"Lehner, Jacobson and Brakus",Switzerland,Transportation & Logistics,Micro,Jessica Martinez,4/5/2024,SAAS,Sales Accepted,4,,,496,60,2/28/2025,
"Homenick, Barton and Mayert",Spain,Professional Services  & Consulting,Micro,Jessica Martinez,5/29/2024,Services,Sales Accepted,4,,,917,20,6/28/2024,
"VonRueden, Hayes and Conn",Italy,Entertainment & Media & Hospitality,Micro,Michael Brown,5/8/2024,SAAS,Sales Accepted,4,,,656,40,6/8/2024,
Nitzsche-Reichel,Italy,Transportation & Logistics,Micro,Kevin Anderson,3/15/2024,Custom solution,Sales Accepted,4,,,996,70,12/27/2024,
"Mosciski, Wisozk and Hamill",Switzerland,Professional Services  & Consulting,Micro,Sarah Davis,5/14/2024,Services,Sales Accepted,4,,,428,30,9/5/2024,
Buckridge-Langosh,France,IT & IT Services,Micro,Michael Brown,1/10/2024,SAAS,Sales Accepted,4,,,562,20,8/19/2024,
"Hessel, Ward and Bernhard",Switzerland,IT & IT Services,Micro,Michael Brown,1/8/2024,Custom solution,Sales Accepted,4,,,786,50,8/19/2024,
"Huels, Kutch and Gorczany",Italy,Transportation & Logistics,Micro,Jessica Martinez,4/4/2024,SAAS,Sales Accepted,4,,,827,40,2/17/2025,
Stehr LLC,France,Transportation & Logistics,Micro,Emily Johnson,4/13/2024,Services,Sales Accepted,4,,,1021,60,1/16/2025,
Casper-Bahringer,Germany,Entertainment & Media & Hospitality,Micro,Jessica Martinez,1/25/2024,Services,Sales Accepted,4,,,509,40,3/13/2024,
"DuBuque, Cormier and Reichel",Germany,Banking and Finance,Micro,Sarah Davis,1/20/2024,Services,Sales Accepted,4,,,883,40,7/21/2024,
Welch LLC,Italy,Agriculture & Mining,Micro,Sarah Davis,5/19/2024,SAAS,Sales Accepted,4,,,500,30,4/19/2025,
"Keeling, Miller and Rolfson",Italy,Government Administration Healthcare,Micro,Sarah Davis,3/28/2024,Custom solution,Sales Accepted,4,,,891,90,3/7/2025,
"Smith, Daniel and Bruen",Italy,Banking and Finance,Micro,Sarah Davis,5/14/2024,Custom solution,Sales Accepted,4,,,811,20,4/10/2025,
Windler Group,Germany,IT & IT Services,Micro,Laura Thompson,1/29/2024,Services,Sales Accepted,4,,,993,20,8/19/2024,
Moore Inc,Italy,Professional Services  & Consulting,Micro,David Wilson,4/30/2024,Custom solution,Sales Accepted,4,,,1083,50,1/3/2025,
Herzog-Jacobi,Spain,Transportation & Logistics,Micro,Laura Thompson,4/28/2024,Services,Sales Accepted,4,,,928,50,2/19/2025,
"Murazik, Johnson and Roob",Italy,Transportation & Logistics,Micro,Jessica Martinez,4/19/2024,SAAS,Sales Accepted,4,,,307,30,1/10/2025,
"Koss, Reilly and Monahan",Italy,Transportation & Logistics,Micro,John Smith,4/2/2024,SAAS,Sales Accepted,4,,,697,60,11/3/2024,
"Douglas, Kulas and Roberts",Switzerland,IT & IT Services,Micro,Laura Thompson,4/7/2024,Services,Sales Accepted,4,,,451,30,5/27/2024,
"Jacobs, Fay and Konopelski",Switzerland,Banking and Finance,Micro,Laura Thompson,1/25/2024,Custom solution,Sales Accepted,4,,,1160,20,7/29/2024,
Dooley-Walker,Italy,Transportation & Logistics,Micro,Laura Thompson,5/12/2024,SAAS,Sales Accepted,4,,,790,30,3/19/2025,
"Connelly, Tillman and Smith",France,Banking and Finance,Micro,Emily Johnson,1/10/2024,SAAS,Sales Accepted,4,,,1196,20,7/4/2024,
Emard-Hartmann,Italy,Government Administration Healthcare,Micro,Emily Johnson,2/28/2024,Services,Sales Accepted,4,,,915,30,12/18/2024,
Schaden-Bauch,Austria,IT & IT Services,Micro,Laura Thompson,3/27/2024,Services,Sales Accepted,4,,,1075,30,2/19/2025,
Hartmann LLC,Switzerland,Energy & Utilities,Micro,Jessica Martinez,4/18/2024,SAAS,Sales Accepted,4,,,789,20,11/7/2024,
Wehner-Kuphal,Belgium,Professional Services  & Consulting,Micro,Jessica Martinez,2/16/2024,SAAS,Sales Accepted,4,,,492,30,4/27/2024,
Mydeo,Italy,Telecommunications,Medium,Emily Johnson,2/23/2024,Services,Sales Accepted,4,,,1940,40,12/8/2024,
Tazzy,Germany,IT & IT Services,Medium,Michael Brown,2/3/2024,Custom solution,Sales Accepted,4,,,6881,20,6/25/2024,
Roomm,Portugal,Banking and Finance,Medium,Kevin Anderson,4/6/2024,SAAS,Sales Accepted,4,,,1944,30,1/16/2025,
Plambee,Belgium,Government Administration Healthcare,Medium,Kevin Anderson,3/29/2024,Services,Sales Accepted,4,,,7599,60,6/6/2024,
Agivu,Portugal,IT & IT Services,Medium,Laura Thompson,1/16/2024,Custom solution,Sales Accepted,4,,,4083,10,3/18/2024,
Browsebug,Switzerland,IT & IT Services,Medium,John Smith,3/26/2024,Custom solution,Sales Accepted,4,,,6631,40,12/8/2024,
Fadeo,Italy,Education & Science,Medium,David Wilson,4/18/2024,SAAS,Sales Accepted,4,,,3675,60,11/10/2024,
Bluejam,Italy,Construction & Engineering,Medium,David Wilson,3/18/2024,Custom solution,Sales Accepted,4,,,6491,20,12/7/2024,
Kazu,Italy,Banking and Finance,Medium,Sarah Davis,4/30/2024,Services,Sales Accepted,4,,,666,90,2/15/2025,
Eayo,Switzerland,IT & IT Services,Medium,Laura Thompson,5/21/2024,SAAS,Sales Accepted,4,,,6272,90,9/20/2024,
LiveZ,Switzerland,Energy & Utilities,Medium,Michael Brown,5/14/2024,Services,Sales Accepted,4,,,6217,90,7/18/2024,
Brainbox,France,IT & IT Services,Medium,Laura Thompson,2/13/2024,SAAS,Sales Accepted,4,,,3368,80,7/11/2024,
Mymm,Italy,Construction & Engineering,Medium,Michael Brown,5/27/2024,Services,Sales Accepted,4,,,6401,40,10/28/2024,
Oyonder,France,Transportation & Logistics,Medium,Kevin Anderson,2/17/2024,Custom solution,Sales Accepted,4,,,6003,50,7/26/2024,
Skinder,Austria,Transportation & Logistics,Medium,Laura Thompson,1/27/2024,Services,Sales Accepted,4,,,4630,60,4/20/2024,
Minyx,Belgium,Manufacturing & Production,Medium,David Wilson,5/29/2024,Custom solution,Sales Accepted,4,,,1412,20,5/12/2025,
